type,bandwidth,time
warmup,56.3293,9063376191261601
warmup,164.286,9063376236075583
warmup,154.419,9063376251477231
warmup,159.02,9063376267897386
warmup,164.587,9063376283814367
warmup,149.032,9063376299193742
warmup,163.26,9063376316346674
warmup,163.071,9063376332035301
warmup,141.822,9063376347740439
warmup,153.425,9063376365573379
warmup,159.287,9063376382145215
warmup,161.392,9063376398036308
warmup,161.118,9063376413888681
warmup,161.382,9063376429757598
warmup,164.012,9063376445601362
warmup,163.689,9063376461208260
warmup,163.508,9063376476840918
warmup,162.013,9063376492479048
warmup,162.23,9063376508257052
warmup,164.523,9063376523987791
warmup,162.015,9063376539524704
warmup,162.55,9063376555300948
warmup,163.337,9063376571021543
warmup,162.725,9063376586662201
warmup,162.403,9063376602351596
warmup,160.271,9063376618068767
warmup,160.951,9063376633991764
warmup,163.575,9063376649848105
warmup,163.707,9063376665457851
warmup,162.179,9063376681054221
warmup,164.581,9063376696812416
warmup,164.42,9063376712348049
14:32:18:292:367    &   163.688
14:32:18:308:109    &   162.394
14:32:18:324:310    &   157.749
14:32:18:340:307    &   159.638
14:32:18:356:301    &   159.716
14:32:18:372:001    &   162.751
14:32:18:387:680    &   163.068
14:32:18:403:352    &   163.128
14:32:18:418:956    &   163.944
14:32:18:434:578    &   163.761
14:32:18:450:157    &   164.221
14:32:18:465:689    &   164.597
14:32:18:481:254    &   164.027
14:32:18:496:732    &   165.438
14:32:18:512:359    &   163.754
14:32:18:527:992    &   163.589
14:32:18:543:698    &   162.819
14:32:18:559:374    &   163.15
14:32:18:575:005    &   163.594
14:32:18:591:085    &   158.872
14:32:18:606:662    &   163.984
14:32:18:622:242    &   164.158
14:32:18:638:138    &   160.816
14:32:18:655:900    &   143.533
14:32:18:672:096    &   157.69
14:32:18:688:897    &   150.596
14:32:18:704:491    &   163.9
14:32:18:720:138    &   163.5
14:32:18:735:832    &   163.001
14:32:18:751:488    &   163.442
14:32:18:767:242    &   162.35
14:32:18:782:859    &   163.709
14:32:18:798:493    &   163.583
14:32:18:814:102    &   163.918
14:32:18:830:399    &   157.186
14:32:18:846:489    &   158.741
14:32:18:862:288    &   161.702
14:32:18:877:952    &   163.136
14:32:18:893:403    &   165.511
14:32:18:909:175    &   162.236
14:32:18:924:637    &   165.562
14:32:18:940:305    &   163.482
14:32:18:955:938    &   163.644
14:32:18:971:667    &   162.664
14:32:18:987:323    &   163.431
14:32:19:002:958    &   163.625
14:32:19:018:739    &   162.061
14:32:19:034:332    &   164.013
14:32:19:049:956    &   163.711
14:32:19:065:530    &   164.206
14:32:19:081:055    &   164.786
14:32:19:096:881    &   161.515
14:32:19:112:365    &   165.036
14:32:19:128:009    &   163.389
14:32:19:143:661    &   163.329
14:32:19:159:286    &   163.602
14:32:19:175:053    &   162.164
14:32:19:190:749    &   162.923
14:32:19:206:895    &   158.221
14:32:19:222:548    &   163.343
14:32:19:238:493    &   160.535
14:32:19:254:086    &   164.031
14:32:19:269:726    &   163.574
14:32:19:285:388    &   163.312
14:32:19:301:002    &   163.894
14:32:19:316:537    &   164.745
14:32:19:332:571    &   159.514
14:32:19:348:862    &   156.751
14:32:19:364:811    &   160.245
14:32:19:380:418    &   163.76
14:32:19:396:145    &   162.638
14:32:19:411:787    &   163.606
14:32:19:429:110    &   147.565
14:32:19:447:815    &   136.425
14:32:19:468:339    &   124.181
14:32:19:484:657    &   156.491
14:32:19:500:381    &   162.733
14:32:19:516:166    &   162.151
14:32:19:531:940    &   162.267
14:32:19:547:573    &   163.759
14:32:19:563:312    &   162.748
14:32:19:579:032    &   162.888
14:32:19:594:992    &   160.343
14:32:19:610:555    &   164.319
14:32:19:626:145    &   164.15
14:32:19:641:765    &   163.908
14:32:19:657:592    &   161.484
14:32:19:673:134    &   164.394
14:32:19:688:675    &   164.495
14:32:19:704:288    &   163.776
14:32:19:720:428    &   158.4
14:32:19:739:190    &   134.877
14:32:19:759:222    &   127.305
14:32:19:781:720    &   113.167
14:32:19:800:486    &   136
14:32:19:820:179    &   129.483
14:32:19:847:451    &   129.489
14:32:19:866:877    &   130.217
14:32:19:886:835    &   126.664
14:32:19:907:083    &   124.829
14:32:19:926:303    &   131.526
14:32:19:946:171    &   127.168
14:32:19:965:582    &   130.41
14:32:19:985:341    &   128.425
14:32:20:005:267    &   128.119
14:32:20:025:356    &   126.961
14:32:20:043:824    &   138.209
14:32:20:065:277    &   118.738
14:32:20:084:924    &   128.712
14:32:20:105:656    &   121.97
14:32:20:124:512    &   134.643
14:32:20:144:006    &   130.859
14:32:20:163:121    &   133.386
14:32:20:182:984    &   128.226
14:32:20:202:126    &   133.262
14:32:20:221:514    &   131.496
14:32:20:241:072    &   130.316
14:32:20:260:304    &   132.618
14:32:20:278:563    &   139.755
14:32:20:296:571    &   141.735
14:32:20:314:121    &   145.585
14:32:20:335:051    &   121.755
14:32:20:353:993    &   134.639
14:32:20:373:336    &   131.578
14:32:20:391:527    &   139.337
14:32:20:409:601    &   141.185
14:32:20:430:790    &   119.679
14:32:20:448:724    &   141.162
14:32:20:466:803    &   141.183
14:32:20:486:038    &   132.594
14:32:20:505:670    &   129.88
14:32:20:524:923    &   132.422
14:32:20:543:481    &   137.388
14:32:20:563:048    &   130.191
14:32:20:582:856    &   128.653
14:32:20:602:795    &   127.8
14:32:20:622:263    &   130.81
14:32:20:640:891    &   136.289
14:32:20:659:913    &   134.326
14:32:20:677:970    &   141.284
14:32:20:696:014    &   140.706
14:32:20:713:648    &   145.072
14:32:20:730:751    &   149.438
14:32:20:749:269    &   137.714
14:32:20:768:056    &   135.918
14:32:20:790:040    &   115.812
14:32:20:808:687    &   136.815
14:32:20:827:832    &   133.162
14:32:20:872:803    &   56.265
14:32:20:929:608    &   44.394
14:32:20:981:116    &   48.9683
14:32:21:026:300    &   55.8374
14:32:21:078:001    &   48.7895
14:32:21:130:269    &   48.2931
14:32:21:188:562    &   43.2647
14:32:21:240:676    &   48.4326
14:32:21:302:424    &   40.8621
14:32:21:366:393    &   39.4318
14:32:21:413:599    &   53.523
14:32:21:466:703    &   47.5089
14:32:21:507:394    &   62.044
14:32:21:542:680    &   71.6717
14:32:21:560:012    &   146.404
14:32:21:576:816    &   150.569
14:32:21:597:786    &   121.399
14:32:21:617:161    &   130.675
14:32:21:636:493    &   131.698
14:32:21:656:837    &   125.022
14:32:21:677:186    &   124.992
14:32:21:698:507    &   119.071
14:32:21:720:065    &   117.724
14:32:21:740:934    &   121.645
14:32:21:762:125    &   119.867
